Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3163,2021,27,1,12/22/2021 ,12/22/2021    ,14,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,17S,Tah-Heetch                                   
G      ,3566,2023,27,1,12/6/2023  ,12/5/2023     ,15,Thriving        ,"1,200.00                    ",300.00                            ,"1,000.00                  ",500.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,17S,Tah-Heetch                                   
G      ,2670,2019,27,1,12/31/2019 ,12/30/2019    ,6,None            ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,36.0,5.0,19.0,6.0,2.0,16.0,1.0,4.0,48.0,16.0,3.0,0.0,0.0,0.0,0.0,55.0,10.0,0.0,0.0,104.0,40.0,15.0,40.0,0.0,5000.0,17S,Tah-Heetch                                   
G      ,2937,2020,27,1,12/30/2020 ,12/29/2020    ,8,None            ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,17S,Tah-Heetch                                   
G      ,3388,2022,27,1,12/21/2022 ,12/20/2022    ,9,None            ,0.00                          ,171.00                            ,0.00                        ,500.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,17S,Tah-Heetch                                   
G      ,2910,2020,31,1,12/25/2020 ,12/24/2020    ,8,None            ,0.00                          ,0.00                              ,0.00                        ,"2,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,17S,Ohlone                                       
G      ,2697,2019,31,1,1/1/2020   ,1/1/2020      ,17,Thriving        ,0.00                          ,"2,503.00                        ",0.00                        ,0.00                  ,159.0,19.0,34.0,41.0,11.0,45.0,2.0,3.0,38.0,84.0,6.0,23.0,3.0,0.0,0.0,117.0,6.0,14.0,2.0,107.0,107.0,84.0,23.0,22.0,2500.0,17S,Ohlone                                       
G      ,3164,2021,31,1,12/22/2021 ,12/21/2021    ,24,High Performing ,0.00                          ,"1,600.00                        ",0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,17S,Ohlone                                       
G      ,3686,2023,31,1,12/25/2023 ,12/24/2023    ,22,High Performing ,0.00                          ,"1,000.00                        ",0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,17S,Ohlone                                       
G      ,3339,2022,31,1,12/15/2022 ,12/14/2022    ,23,High Performing ,0.00                          ,800.00                            ,0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,17S,Ohlone                                       
G      ,3418,2022,42,1,12/23/2022 ,12/22/2022    ,16,Thriving        ,0.00                          ,75.00                             ,0.00                        ,3.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,17S,Hungteetsepoppi                              
